2021-10-27 17:06:02.825 INFO  t.m.u.VersionInfo - -----版本信息-----
2021-10-27 17:06:02.829 INFO  t.m.u.VersionInfo - 当前版本: 2.1.2
2021-10-27 17:06:02.832 WARN  t.m.u.VersionInfo - 网络问题，未请求到新版本
java.lang.NullPointerException: null
	at top.misec.utils.VersionInfo.printVersionInfo(VersionInfo.java:36)
	at top.misec.BiliMain.main(BiliMain.java:26)
2021-10-27 17:06:02.833 INFO  t.m.BiliMain - 使用自定义目录的配置文件
2021-10-27 17:06:02.864 INFO  t.m.c.ConfigLoader - 读取自定义配置文件成功,若部分配置项不存在则会采用默认配置.
2021-10-27 17:06:02.873 INFO  t.m.t.DailyTask - ------登录检查开始------
2021-10-27 17:06:03.977 INFO  t.m.t.UserCheck - Cookies有效，登录成功
2021-10-27 17:06:03.978 INFO  t.m.t.UserCheck - 用户名称: 12****sl
2021-10-27 17:06:03.978 INFO  t.m.t.UserCheck - 硬币余额: 0.0
2021-10-27 17:06:03.978 INFO  t.m.t.DailyTask - ------登录检查结束------

2021-10-27 17:06:03.979 INFO  t.m.u.SleepTime - -----随机暂停12393ms-----

2021-10-27 17:06:16.372 INFO  t.m.t.DailyTask - ------硬币情况统计开始------
2021-10-27 17:06:16.562 INFO  t.m.t.CoinLogs - 最近一周共计0条硬币记录
2021-10-27 17:06:16.563 INFO  t.m.t.CoinLogs - 最近一周收入0.0个硬币
2021-10-27 17:06:16.564 INFO  t.m.t.CoinLogs - 最近一周支出0.0个硬币
2021-10-27 17:06:16.564 INFO  t.m.t.DailyTask - ------硬币情况统计结束------

2021-10-27 17:06:16.565 INFO  t.m.u.SleepTime - -----随机暂停23241ms-----

2021-10-27 17:06:39.807 INFO  t.m.t.DailyTask - ------直播签到开始------
2021-10-27 17:06:40.013 INFO  t.m.t.LiveChecking - 直播签到成功，本次签到获得3000点用户经验,2根辣条,再签到4天可以获得666银瓜子
2021-10-27 17:06:40.014 INFO  t.m.t.DailyTask - ------直播签到结束------

2021-10-27 17:06:40.014 INFO  t.m.u.SleepTime - -----随机暂停11368ms-----

2021-10-27 17:06:51.382 INFO  t.m.t.DailyTask - ------大会员月底B币券充电开始------
2021-10-27 17:06:51.609 INFO  t.m.t.ChargeMe - 普通会员和月度大会员每月不赠送B币券，所以没法给自己充电哦
2021-10-27 17:06:51.609 INFO  t.m.t.DailyTask - ------大会员月底B币券充电结束------

2021-10-27 17:06:51.610 INFO  t.m.u.SleepTime - -----随机暂停22547ms-----

2021-10-27 17:07:14.158 INFO  t.m.t.DailyTask - ------每日漫画阅读开始------
2021-10-27 17:07:14.383 INFO  t.m.t.MangaRead - 本日漫画自动阅读1章节成功！，阅读漫画为：堀与宫村
2021-10-27 17:07:14.383 INFO  t.m.t.DailyTask - ------每日漫画阅读结束------

2021-10-27 17:07:14.383 INFO  t.m.u.SleepTime - -----随机暂停28237ms-----

2021-10-27 17:07:42.620 INFO  t.m.t.DailyTask - ------B站直播送出即将过期的礼物开始------
2021-10-27 17:07:43.308 INFO  t.m.t.GiveGift - 随机直播间
2021-10-27 17:07:43.786 INFO  t.m.t.GiveGift - 给直播间 - 545068 - 辣条 - 数量: 2✔
2021-10-27 17:07:43.787 INFO  t.m.t.DailyTask - ------B站直播送出即将过期的礼物结束------

2021-10-27 17:07:43.787 INFO  t.m.u.SleepTime - -----随机暂停23647ms-----

2021-10-27 17:08:07.435 INFO  t.m.t.DailyTask - ------银瓜子换硬币开始------
2021-10-27 17:08:07.613 INFO  t.m.t.Silver2Coin - 当前银瓜子余额为:230,不足700,不进行兑换
2021-10-27 17:08:07.614 INFO  t.m.t.DailyTask - ------银瓜子换硬币结束------

2021-10-27 17:08:07.615 INFO  t.m.u.SleepTime - -----随机暂停11466ms-----

2021-10-27 17:08:19.081 INFO  t.m.t.DailyTask - ------赛事预测开始------
2021-10-27 17:08:19.294 INFO  t.m.t.MatchGame - 100个硬币都没有，参加什么预测呢？任务结束
2021-10-27 17:08:19.295 INFO  t.m.t.DailyTask - ------赛事预测结束------

2021-10-27 17:08:19.295 INFO  t.m.u.SleepTime - -----随机暂停23708ms-----

2021-10-27 17:08:43.004 INFO  t.m.t.DailyTask - ------观看分享视频开始------
2021-10-27 17:08:43.095 INFO  t.m.t.DailyTask - 请求本日任务完成状态成功
2021-10-27 17:08:43.295 INFO  t.m.t.VideoWatch - 视频: 小白测评: 「小白」 关于苹果新MacBook Pro和M1 Max/Pro基本都在这了播放成功,已观看到第81秒
2021-10-27 17:08:43.536 INFO  t.m.t.VideoWatch - 视频: 小白测评: 「小白」 关于苹果新MacBook Pro和M1 Max/Pro基本都在这了 分享成功
